Date,Area,District,Volume_inb_ball,Score_inb_ball,Score_p_1_inb_ball,Score_p_2_inb_ball,Score_p_3_inb_ball,type
2020-10-28,Pacific,San Francisco,49668,98.9,99.34,99.58,99.61,inbound
2020-10-28,Pacific,Santa Ana,60227,99.66,99.76,99.87,99.9,inbound
2020-10-28,Pacific,Sierra Coastal,47137,98.83,99.05,99.27,99.3,inbound
2020-10-28,Southern,Alabama,626,71.09,75.88,93.93,95.85,inbound
2020-10-28,Southern,Arkansas,864,94.68,96.06,98.61,98.73,inbound
2020-10-28,Southern,Dallas,3017,93.87,96.85,99.04,99.2,inbound
2020-10-28,Southern,Ft. Worth,1678,95.11,96.13,96.78,96.84,inbound
2020-10-28,Southern,Gulf Atlantic,19732,93.99,94.77,99.08,99.31,inbound
2020-10-28,Southern,Houston,7144,95.04,96.01,97.12,97.19,inbound
2020-10-28,Southern,Louisiana,431,65.43,74.94,91.42,96.98,inbound
2020-10-28,Southern,Mississippi,540,91.48,93.7,98.15,99.07,inbound
2020-10-28,Southern,Oklahoma,154,62.99,79.22,94.81,98.7,inbound
2020-10-28,Southern,Rio Grande,3714,91.65,94.32,98.41,98.9,inbound
2020-10-28,Southern,South Florida,9167,94.97,96.33,98.65,99.08,inbound
2020-10-28,Southern,Suncoast,51569,96.43,97.09,99.32,99.45,inbound
2020-10-28,Western,Alaska,4966,93.76,96.34,98.79,99.05,inbound
2020-10-28,Western,Arizona,159578,98.07,98.36,98.71,98.78,inbound
2020-10-28,Western,Central Plains,7609,96.49,97.23,98,98.19,inbound
2020-10-28,Western,Colorado/Wyoming,20098,78.74,81.18,88.12,89.74,inbound
2020-10-28,Western,Dakotas,10662,96.6,97.77,99.59,99.75,inbound
2020-10-28,Western,Hawkeye,19854,98.47,98.83,99.25,99.29,inbound
2020-10-28,Western,Mid-Americas,9351,95.63,97.22,99.11,99.38,inbound
2020-10-28,Western,Nevada Sierra,25585,98.03,98.54,99.3,99.39,inbound
2020-10-28,Western,Northland,5279,97.08,97.9,99.19,99.79,inbound
2020-10-28,Western,Portland,94205,98.12,98.31,99.79,99.85,inbound
2020-10-28,Western,Salt Lake City,55214,98.09,98.65,99.79,99.86,inbound
2020-10-28,Western,Seattle,101359,98.25,99.17,99.71,99.78,inbound
2020-10-29,Metro,Atlanta,15289,93.1,94.59,95.21,96.52,inbound
2020-10-29,Metro,Baltimore,18039,95.63,98.2,98.72,99.47,inbound
2020-10-29,Metro,Capital,13989,94.93,98.1,98.57,99.12,inbound
2020-10-29,Metro,Greater S Carolina,13099,77.48,95.23,96.29,98.34,inbound
2020-10-29,Metro,Greensboro,18629,89.14,95.28,95.91,97.44,inbound
2020-10-29,Metro,Mid-Carolinas,14055,84.35,95.3,96.04,97.6,inbound
2020-10-29,Metro,Norther Virginia,13428,95.12,96.75,97.16,97.91,inbound
2020-10-29,Metro,Richmond,14007,93.69,97.99,98.58,98.86,inbound
2020-10-29,Eastern,Appalachian,1847,89.5,93.99,94.86,96.05,inbound
2020-10-29,Eastern,Central Pennsylvania,40290,69.17,96.93,97.19,99.51,inbound
