Date,Area,District,First_class,Marketing_mail
2020-10-29,Southern,Suncoast,93.93,92.92
2020-10-29,Western,Alaska,77.05,96.88
2020-10-29,Western,Arizona,94.78,89.61
2020-10-29,Western,Central Plains,97.27,94.88
2020-10-29,Western,Colorado/Wyoming,73.32,79.96
2020-10-29,Western,Dakotas,92.75,94.92
2020-10-29,Western,Hawkeye,94.16,94.85
2020-10-29,Western,Mid-Americas,91.82,82.56
2020-10-29,Western,Nevada Sierra,94.21,97.09
2020-10-29,Western,Northland,90.75,90.5
2020-10-29,Western,Portland,93.98,96.18
2020-10-29,Western,Salt Lake City,93.61,96.44
2020-10-29,Western,Seattle,91.32,97.09
2020-10-30,Capital Metro,Atlanta,85.56,63.38
2020-10-30,Capital Metro,Baltimore,66.61,84.6
2020-10-30,Capital Metro,Capital,83.87,86.23
2020-10-30,Capital Metro,Greater S Carolina,66.72,85.13
2020-10-30,Capital Metro,Greensboro,68.24,57.85
2020-10-30,Capital Metro,Mid-Carolinas,83.28,64.52
2020-10-30,Capital Metro,Norther Virginia,81.29,94.67
2020-10-30,Capital Metro,Richmond,88.24,84.5
2020-10-30,Eastern,Appalachian,90.94,90.35
2020-10-30,Eastern,Central Pennsylvania,63.49,50.76
2020-10-30,Eastern,Kentuckiana,89.15,94.82
2020-10-30,Eastern,Norther Ohio,73.42,65.04
2020-10-30,Eastern,Ohio Valley,83.02,89.81
2020-10-30,Eastern,Philadelphia Metropo,56.73,67.17
2020-10-30,Eastern,South Jersey,84.51,92.25
2020-10-30,Eastern,Tennessee,87.22,85.98
2020-10-30,Eastern,Western New York,92.66,95.51
2020-10-30,Eastern,Western Pennsylvania,88.43,96.39
2020-10-30,Great Lakes,Central Illinois,79.18,88.25
2020-10-30,Great Lakes,Chicago,88.8,84.4
2020-10-30,Great Lakes,Detroit,72.56,61.78
2020-10-30,Great Lakes,Gateway,89.8,89.48
2020-10-30,Great Lakes,Greater Indiana,93.92,89.35
2020-10-30,Great Lakes,Greater Michigan,80.76,84.87
2020-10-30,Great Lakes,Lakeland,88.89,92.64
2020-10-30,Northeast,Albany,90.21,92.38
2020-10-30,Northeast,Caribbean,93.02,93.46
2020-10-30,Northeast,Connecticut Valley,91.83,87.7
2020-10-30,Northeast,Greater Boston,90.51,87.28
2020-10-30,Northeast,Long Island,91.08,87.32
2020-10-30,Northeast,New York,89.9,97.92
2020-10-30,Northeast,Northern New England,88.64,89.22
2020-10-30,Northeast,Northern New Jersey,91.53,92.91
2020-10-30,Northeast,Triboro,89.37,94.02
2020-10-30,Northeast,Westchester,91.84,88.02
2020-10-30,Pacific,Bay-Valley,92.78,96.2
2020-10-30,Pacific,Honolulu,91.27,96.27
2020-10-30,Pacific,Los Angeles,94.11,96.17
2020-10-30,Pacific,Sacramento,87.08,96.01
2020-10-30,Pacific,San Diego,92.32,97.67
2020-10-30,Pacific,San Francisco,93.38,96.44
2020-10-30,Pacific,Santa Ana,85.81,97.22
2020-10-30,Pacific,Sierra Coastal,92.85,96.12
2020-10-30,Southern,Alabama,87.75,66.09
2020-10-30,Southern,Arkansas,88.69,85.97
2020-10-30,Southern,Dallas,78.4,89.58
2020-10-30,Southern,Ft. Worth,85.37,91.7
2020-10-30,Southern,Gulf Atlantic,80.95,73.94
2020-10-30,Southern,Houston,89.58,93.9
2020-10-30,Southern,Louisiana,80.53,83.27
2020-10-30,Southern,Mississippi,83.99,81.76
2020-10-30,Southern,Oklahoma,91.32,94.58
2020-10-30,Southern,Rio Grande,90.27,94.28
2020-10-30,Southern,South Florida,80.66,87.12
2020-10-30,Southern,Suncoast,88.05,89.91
2020-10-30,Western,Alaska,88.83,85.48
2020-10-30,Western,Arizona,91.48,86.84
2020-10-30,Western,Central Plains,90.88,92.56
2020-10-30,Western,Colorado/Wyoming,67.73,65.03
2020-10-30,Western,Dakotas,91.85,94.45
2020-10-30,Western,Hawkeye,91.75,95
2020-10-30,Western,Mid-Americas,84.95,82.37
2020-10-30,Western,Nevada Sierra,92.39,95.97
2020-10-30,Western,Northland,89.21,90.04
2020-10-30,Western,Portland,93.83,95.4
2020-10-30,Western,Salt Lake City,91.2,95.27
2020-10-30,Western,Seattle,87.73,93.5
2020-10-31,Capital Metro,Atlanta,82.13,56.51
2020-10-31,Capital Metro,Baltimore,71.14,74.76
2020-10-31,Capital Metro,Capital,74.61,89.77
2020-10-31,Capital Metro,Greater S Carolina,69.15,66.73
2020-10-31,Capital Metro,Greensboro,75.01,49.88
2020-10-31,Capital Metro,Mid-Carolinas,79.06,59.78
2020-10-31,Capital Metro,Norther Virginia,78.96,94.41
2020-10-31,Capital Metro,Richmond,87.87,60.79
2020-10-31,Eastern,Appalachian,89.84,93.82
2020-10-31,Eastern,Central Pennsylvania,64.84,44.85
2020-10-31,Eastern,Kentuckiana,90.37,94.61
2020-10-31,Eastern,Norther Ohio,74.02,55.55
2020-10-31,Eastern,Ohio Valley,82.46,89.68
2020-10-31,Eastern,Philadelphia Metropo,56.74,57.37
2020-10-31,Eastern,South Jersey,84.54,89.88
2020-10-31,Eastern,Tennessee,88.29,88.4
2020-10-31,Eastern,Western New York,89.15,92.49
