Date,Area,District,Inbound,Outbound,Outbound_non
2020-10-29,Southern,Alabama,88.99,66.67,6.55
2020-10-29,Southern,Arkansas,97.68,85.71,83.33
2020-10-29,Southern,Dallas,95.32,55.17,35.25
2020-10-29,Southern,Ft. Worth,94.37,99.34,95.87
2020-10-29,Southern,Gulf Atlantic,95.8,33.33,93.69
2020-10-29,Southern,Houston,96.32,84.62,31.78
2020-10-29,Southern,Louisiana,92.65,90,93.87
2020-10-29,Southern,Mississippi,93.22,80,23.88
2020-10-29,Southern,Oklahoma,80.27,75,86.19
2020-10-29,Southern,Rio Grande,94.17,90.48,63.22
2020-10-29,Southern,South Florida,96.09,56.67,97
2020-10-29,Southern,Suncoast,97.94,25.9,76.36
2020-10-29,Western,Alaska,83.11,80,99.8
2020-10-29,Western,Arizona,98.43,88.14,38.46
2020-10-29,Western,Central Plains,93.88,29.82,56
2020-10-29,Western,Colorado/W yoming,69.9,53.73,69.18
2020-10-29,Western,Dakotas,97.53,35.48,96.27
2020-10-29,Western,Hawkeye,97.65,60,31.53
2020-10-29,Western,Mid- Americas,95.05,68.42,16.37
2020-10-29,Western,Nevada Sierra,98.15,25.64,99.08
2020-10-29,Western,Northland,84.11,45.45,52.51
2020-10-29,Western,Portland,97.46,28.38,84.28
2020-10-29,Western,Salt Lake City,97.61,98.54,94.83
2020-10-29,Western,Seattle,98.12,11.82,86.89
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-30,Capital Metro,Atlanta,78.22,3.42,60.33
2020-10-30,Capital Metro,Baltimore,90.83,2.43,10.24
2020-10-30,Capital Metro,Capital,92.51,23.26,91.36
2020-10-30,Capital Metro,Greater S Carolina,81.95,17.72,51.86
2020-10-30,Capital Metro,Greensboro,80.82,0.83,88.16
2020-10-30,Capital Metro,Mid- Carolinas,77.29,15.38,34.31
2020-10-30,Capital Metro,Norther Virginia,91.76,88.24,94.48
2020-10-30,Capital Metro,Richmond,90.87,88.89,78.81
2020-10-30,Eastern,Appalachian,89.77,21.05,96.49
2020-10-30,Eastern,Central Pennsylvani a,64.05,0.85,26.36
2020-10-30,Eastern,Kentuckiana,72.45,66.67,68.92
2020-10-30,Eastern,Norther Ohio,94.97,16.48,19.67
2020-10-30,Eastern,Ohio Valley,93.75,27.81,77.35
2020-10-30,Eastern,Philadelphia Metropo,86.91,98.88,13.18
2020-10-30,Eastern,South Jersey,92.51,35.27,39.18
2020-10-30,Eastern,Tennessee,91.45,79.03,74.07
2020-10-30,Eastern,Western New York,97.07,100,37.04
2020-10-30,Eastern,Western Pennsylvani a,90.8,99.22,98.68
2020-10-30,Great Lakes,Central Illinois,88.44,73.7,39.11
2020-10-30,Great Lakes,Chicago,91.44,85.71,69.01
2020-10-30,Great Lakes,Detroit,77.04,77.97,9.27
2020-10-30,Great Lakes,Gateway,89.97,93.26,41.56
2020-10-30,Great Lakes,Greater Indiana,60.8,20.97,93.08
2020-10-30,Great Lakes,Greater Michigan,86.04,97.28,71.95
2020-10-30,Great Lakes,Lakeland,86.66,73.68,77.09
2020-10-30,Northeast,Albany,95.96,88,25.09
2020-10-30,Northeast,Caribbean,98.7,85.71,99.12
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-30,Northeast,Connecticut Valley,91.28,85,70.93
2020-10-30,Northeast,Greater Boston,93.53,78.57,99.31
2020-10-30,Northeast,Long Island,94.47,100,42.24
2020-10-30,Northeast,New York,93.84,94.59,99.06
2020-10-30,Northeast,Northern New England,72.98,44,96.9
2020-10-30,Northeast,Northern New Jersey,97.37,95.65,99.46
2020-10-30,Northeast,Triboro,89.62,70.37,96.75
2020-10-30,Northeast,Westchester,95.45,78.57,93.24
2020-10-30,Pacific,Bay-Valley,98.29,90.54,97.01
2020-10-30,Pacific,Honolulu,92.32,94.74,96.55
2020-10-30,Pacific,Los Angeles,98.69,93,47.16
2020-10-30,Pacific,Sacramento,98.26,31.58,86.96
2020-10-30,Pacific,San Diego,97.99,99.17,93.7
2020-10-30,Pacific,San Francisco,96.32,97.14,98.01
2020-10-30,Pacific,Santa Ana,98.73,98.32,65.41
2020-10-30,Pacific,Sierra Coastal,97.97,42.62,86.91
2020-10-30,Southern,Alabama,75.03,18.75,87.44
2020-10-30,Southern,Arkansas,92.39,85.71,99.04
2020-10-30,Southern,Dallas,89.14,87.5,81.75
2020-10-30,Southern,Ft. Worth,80,77.27,99.83
